Timestamp,Source,Destination,Protocol,Length
2026-04-28 11:19:56,10.2.60.32,20.189.173.5,TCP,139
2026-04-28 11:19:56,10.2.60.32,20.189.173.5,TCP,93
2026-04-28 11:19:56,10.2.60.32,20.189.173.5,TCP,866
2026-04-28 11:19:56,20.189.173.5,10.2.60.32,TCP,60
2026-04-28 11:19:56,20.189.173.5,10.2.60.32,TCP,93
2026-04-28 11:19:56,10.2.60.32,20.189.173.5,TCP,54
2026-04-28 11:19:56,20.189.173.5,10.2.60.32,TCP,153
2026-04-28 11:19:56,10.2.60.32,20.189.173.5,TCP,89
2026-04-28 11:19:56,20.189.173.5,10.2.60.32,TCP,60
2026-04-28 11:19:56,10.2.60.32,8.8.8.8,UDP,81
2026-04-28 11:19:56,10.2.60.32,8.8.4.4,UDP,81
2026-04-28 11:19:56,8.8.8.8,10.2.60.32,UDP,188
2026-04-28 11:19:56,10.2.60.32,52.84.127.46,TCP,66
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,66
2026-04-28 11:19:56,10.2.60.32,52.84.127.46,TCP,54
2026-04-28 11:19:56,10.2.60.32,52.84.127.46,TCP,571
2026-04-28 11:19:56,8.8.4.4,10.2.60.32,UDP,188
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,60
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,279
2026-04-28 11:19:56,10.2.60.32,52.84.127.46,TCP,542
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,60
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,233
2026-04-28 11:19:56,52.84.127.46,10.2.60.32,TCP,569
2026-04-28 11:19:56,10.2.60.32,52.84.127.46,TCP,54
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,2694
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,93
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,97
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,60
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,60
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,60
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,93
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,54
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,1042
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,87
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,85
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,93
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,54
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,89
2026-04-28 11:19:56,10.2.60.32,142.251.34.234,TCP,93
2026-04-28 11:19:56,142.251.34.234,10.2.60.32,TCP,60
2026-04-28 11:19:57,10.2.60.32,172.212.135.2,TCP,85
2026-04-28 11:19:57,172.212.135.2,10.2.60.32,TCP,60
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,248
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,93
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,242
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,248
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,93
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,160
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,54
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,553
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,85
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,93
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,54
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,89
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,93
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,243
2026-04-28 11:19:57,10.2.60.32,8.8.4.4,TCP,243
2026-04-28 11:19:57,10.2.60.32,142.251.210.206,TCP,2685
2026-04-28 11:19:57,10.2.60.32,142.251.210.206,TCP,93
2026-04-28 11:19:57,10.2.60.32,142.251.210.206,TCP,2109
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,8.8.4.4,10.2.60.32,TCP,60
2026-04-28 11:19:57,142.251.210.206,10.2.60.32,TCP,60
2026-04-28 11:19:57,142.251.210.206,10.2.60.32,TCP,60
2026-04-28 11:19:57,142.251.210.206,10.2.60.32,TCP,60
2026-04-28 11:19:57,142.251.210.206,10.2.60.32,TCP,60
2026-04-28 11:19:57,142.251.210.206,10.2.60.32,TCP,93
